,profile_type,weight,run,accuracy,average
31,Global,1.0,1,96.2800875273523,97.25747629467541
32,Global,1.0,2,98.6870897155361,97.25747629467541
33,Global,1.0,3,99.70824215900802,97.25747629467541
34,Global,1.0,4,98.32239241429613,97.25747629467541
35,Global,1.0,5,96.79066374908825,97.25747629467541
36,Global,1.0,6,97.5200583515682,97.25747629467541
37,Global,1.0,7,97.08242159008023,97.25747629467541
38,Global,1.0,8,98.61415025528811,97.25747629467541
39,Global,1.0,9,98.7600291757841,97.25747629467541
40,Global,1.25,0,94.9671772428884,97.25747629467541
41,Global,1.25,1,97.4471188913202,97.25747629467541
42,Global,1.25,2,99.05178701677607,97.25747629467541
43,Global,1.25,3,97.08242159008023,97.25747629467541
44,Global,1.25,4,96.06126914660832,97.25747629467541
45,Global,1.25,5,99.12472647702407,97.25747629467541
46,Global,1.25,6,97.73887673231218,97.25747629467541
47,Global,1.25,7,96.35302698760029,97.25747629467541
48,Global,1.25,8,98.10357403355215,97.25747629467541
49,Global,1.25,9,96.64478482859226,97.25747629467541
0,Global,0.25,0,97.66593727206418,97.80452224653537
1,Global,0.25,1,95.62363238512035,97.80452224653537
2,Global,0.25,2,99.70824215900802,97.80452224653537
3,Global,0.25,3,97.59299781181619,97.80452224653537
4,Global,0.25,4,97.95769511305616,97.80452224653537
5,Global,0.25,5,98.90590809628009,97.80452224653537
6,Global,0.25,6,96.06126914660832,97.80452224653537
7,Global,0.25,7,96.71772428884027,97.80452224653537
8,Global,0.25,8,98.61415025528811,97.80452224653537
9,Global,0.25,9,98.97884755652808,97.80452224653537
10,Global,0.5,0,98.39533187454413,97.80452224653537
11,Global,0.5,1,97.88475565280817,97.80452224653537
12,Global,0.5,2,98.17651349380014,97.80452224653537
13,Global,0.5,3,98.39533187454413,97.80452224653537
14,Global,0.5,4,98.24945295404814,97.80452224653537
15,Global,0.5,5,98.39533187454413,97.80452224653537
16,Global,0.5,6,98.97884755652808,97.80452224653537
17,Global,0.5,7,98.32239241429613,97.80452224653537
18,Global,0.5,8,98.97884755652808,97.80452224653537
19,Global,0.5,9,98.83296863603209,97.80452224653537
20,Global,0.75,0,97.4471188913202,97.80452224653537
21,Global,0.75,1,97.73887673231218,97.80452224653537
22,Global,0.75,2,98.10357403355215,97.80452224653537
23,Global,0.75,3,98.54121079504012,97.80452224653537
24,Global,0.75,4,98.32239241429613,97.80452224653537
25,Global,0.75,5,98.97884755652808,97.80452224653537
26,Global,0.75,6,97.08242159008023,97.80452224653537
27,Global,0.75,7,96.06126914660832,97.80452224653537
28,Global,0.75,8,97.95769511305616,97.80452224653537
29,Global,0.75,9,99.34354485776805,97.80452224653537
30,Global,1.0,0,97.59299781181619,97.80452224653537
31,Global,1.0,1,96.2800875273523,97.80452224653537
32,Global,1.0,2,98.6870897155361,97.80452224653537
33,Global,1.0,3,99.70824215900802,97.80452224653537
34,Global,1.0,4,98.32239241429613,97.80452224653537
35,Global,1.0,5,96.79066374908825,97.80452224653537
36,Global,1.0,6,97.5200583515682,97.80452224653537
37,Global,1.0,7,97.08242159008023,97.80452224653537
